id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,gss_code,parlparse_id,theyworkforyou_url,party_ec_id
19874,Douglas Lumsden,,,,,local.aberdeen-city.2017-05-04,party:52,Conservative and Unionist Party,UTW:airyhallbroomhillgarthdee,Airyhall/Broomhill/Garthdee,,,,,https://www.facebook.com/DouglasForAberdeen/,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
21066,Angela Taylor,,,,,local.aberdeen-city.2017-05-04,party:53,Labour Party,UTW:airyhallbroomhillgarthdee,Airyhall/Broomhill/Garthdee,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
21067,Gordon Scott Townson,,,,,local.aberdeen-city.2017-05-04,party:102,Scottish National Party (SNP),UTW:airyhallbroomhillgarthdee,Airyhall/Broomhill/Garthdee,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
21068,Ian Yuill,,,male,,local.aberdeen-city.2017-05-04,party:90,Liberal Democrats,UTW:airyhallbroomhillgarthdee,Airyhall/Broomhill/Garthdee,,False,,IanYuill,,,,http://ianyuill.mycouncillor.org.uk/,,https://www.linkedin.com/in/ianyuill/,https://candidates.democracyclub.org.uk/media/images/images/21068.png,,profile-photo,,Auto imported from Twitter,43441832,2017-05-04,True,False,,,,,PP90
20982,Alison Alphonse,,,female,,local.aberdeen-city.2017-05-04,party:102,Scottish National Party (SNP),UTW:bridge-of-don,Bridge of Don,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
20983,Karen Farquhar,,,female,,local.aberdeen-city.2017-05-04,party:90,Liberal Democrats,UTW:bridge-of-don,Bridge of Don,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
19871,Brett Hunt,,,,,local.aberdeen-city.2017-05-04,party:52,Conservative and Unionist Party,UTW:bridge-of-don,Bridge of Don,,,,,https://www.facebook.com/Brett-Hunt-for-Bridge-of-Don-1825681584343038/,,,,,,,,,,,,2017-05-04,True,False,,,,,PP52
8258,James Edmund Rodgerson Irving-Lewis,,,male,,local.aberdeen-city.2017-05-04,party:2897,Solidarity - Scotland's Socialist Movement,UTW:bridge-of-don,Bridge of Don,,,,irvinglew1,https://www.facebook.com/jamesirvinglewissolidaritynortheastscotland/,,,,,,https://candidates.democracyclub.org.uk/media/images/images/8258.png,,profile-photo,,Auto imported from Twitter,3931242323,2017-05-04,True,False,,,,,PP2897
20984,Simon Mclean,,,male,,local.aberdeen-city.2017-05-04,ynmp-party:2,Independent,UTW:bridge-of-don,Bridge of Don,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
20985,John Michael Reynolds,,,male,,local.aberdeen-city.2017-05-04,ynmp-party:2,Independent,UTW:bridge-of-don,Bridge of Don,,,jreynolds@aberdeencity.gov.uk,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
20986,George Saunders,,,male,,local.aberdeen-city.2017-05-04,ynmp-party:2,Independent,UTW:bridge-of-don,Bridge of Don,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
20987,Sandy Stuart,,,male,,local.aberdeen-city.2017-05-04,party:102,Scottish National Party (SNP),UTW:bridge-of-don,Bridge of Don,,,sandystuart@aberdeencity.gov.uk,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP102
8239,Willie Young,,,male,,local.aberdeen-city.2017-05-04,party:53,Labour Party,UTW:bridge-of-don,Bridge of Don,,,wyoung@aberdeencity.gov.uk,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
1538,Barney Crockett,,,male,,local.aberdeen-city.2017-05-04,party:53,Labour Party,UTW:dycebucksburndanestone,Dyce/Bucksburn/Danestone,,,bcrockett@aberdeencity.gov.uk,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
20973,Coral Duthie,,,,,local.aberdeen-city.2017-05-04,ynmp-party:2,Independent,UTW:dycebucksburndanestone,Dyce/Bucksburn/Danestone,,,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
20974,Graeme Stephen Lawrence,,,male,,local.aberdeen-city.2017-05-04,party:53,Labour Party,UTW:dycebucksburndanestone,Dyce/Bucksburn/Danestone,,,glawrence@aberdeencity.gov.uk,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP53
