id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,gss_code,parlparse_id,theyworkforyou_url,party_ec_id
21605,Daniel Fraser,,,,,local.city-of-edinburgh.2017-05-04,party:3906,Scottish Libertarian Party,UTW:almond,Almond,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,PP3906
8370,Graham Hutchison,,,male,,local.city-of-edinburgh.2017-05-04,party:52,Conservative and Unionist Party,UTW:almond,Almond,,,graham.hutchison@scottishconservatives.com,GrahamHutch2017,https://www.facebook.com/Graham-Hutchison-for-Almond-878625545562395/,https://www.edinburghconservatives.org.uk/people/graham-hutchison,,,,,,,,,,3411234640,2017-05-04,True,False,,,,,PP52
944,Otto Inglis,,,male,,local.city-of-edinburgh.2017-05-04,party:85,UK Independence Party (UKIP),UTW:almond,Almond,,False,otto.inglis@ukiplocal.org,OttoInglis,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/944.png,,profile-photo,,Auto imported from Twitter,1427285550,2017-05-04,True,False,,,,,PP85
824,Kevin Lang,,,male,,local.city-of-edinburgh.2017-05-04,party:90,Liberal Democrats,UTW:almond,Almond,,,kevin4council@outlook.com,kevin_lang,https://www.facebook.com/kevin4council/,http://kevinlang.mycouncillor.org.uk/,,,,,https://candidates.democracyclub.org.uk/media/images/images/824.png,,profile-photo,,Auto imported from Twitter,59516528,2017-05-04,True,False,,,,,PP90
21606,John Longstaff,,,,,local.city-of-edinburgh.2017-05-04,ynmp-party:2,Independent,UTW:almond,Almond,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,
20562,Iain Mckinnon-Waddell,,,male,,local.city-of-edinburgh.2017-05-04,party:130,Scottish Green Party,UTW:almond,Almond,,,,,,,,https://iainmckwsgp.wordpress.com/,,,,,,,,,2017-05-04,True,False,,,,,PP130
20261,Pamela Mitchell,,,female,,local.city-of-edinburgh.2017-05-04,party:102,Scottish National Party (SNP),UTW:almond,Almond,,,,,https://www.facebook.com/Pamela-Mitchell-SNP-Candidate-for-Almond-Ward-Edinburgh-1188671114564149/,https://edinburghwesternsnp.scot/elect-pamela-mitchell-for-almond-ward,,,,,https://candidates.democracyclub.org.uk/media/images/images/20261.png,,profile-photo,gerrymulvenna,https://edinburghwesternsnp.scot/wp-content/uploads/2017/03/Pam-2017-1.jpg,,2017-05-04,True,False,,,,,PP102
6792,Bruce Whitehead,Mr,,male,1959-04-11,local.city-of-edinburgh.2017-05-04,party:53,Labour Party,UTW:almond,Almond,,,info@votebruce.org,Bruce4Almond,https://www.facebook.com/bruce4almond,,,,,https://www.linkedin.com/in/bruce-whitehead-619b479,https://candidates.democracyclub.org.uk/media/images/5506ff405399523471f7e1a8.png,,copyright-assigned,Brucewhitehead,,804245634417102848,2017-05-04,True,False,,,,,PP53
20260,Norman Work,,,male,,local.city-of-edinburgh.2017-05-04,party:102,Scottish National Party (SNP),UTW:almond,Almond,,,,CllrNormanWork,,https://edinburghwesternsnp.scot/re-elect-norman-work-for-almond-ward,,,,,https://candidates.democracyclub.org.uk/media/images/images/20260.png,,profile-photo,gerrymulvenna,https://edinburghwesternsnp.scot/wp-content/uploads/2017/03/Norrie-2017.jpg,1168975333,2017-05-04,True,False,,,,,PP102
9213,Louise Young,,,Female,,local.city-of-edinburgh.2017-05-04,party:90,Liberal Democrats,UTW:almond,Almond,,,louise.young@scotlibdems.org.uk,,,http://www.scotlibdems.org.uk/louise_young,,,,,,,,,,,2017-05-04,True,False,,,,,PP90
