id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,old_person_ids,gss_code,parlparse_id,theyworkforyou_url,party_ec_id,favourite_biscuits
22568,Billy Buchanan,,,,,local.falkirk.2017-05-04,ynmp-party:2,Independent,UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,,
22569,Tom Coleman,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
22570,Linda Gow,,,female,,local.falkirk.2017-05-04,joint-party:53-119,Labour and Co-operative Party,UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,False,,LindaGfalkirk,https://www.facebook.com/Councillor-Linda-Gow-739603189386493/,,,,,,https://candidates.democracyclub.org.uk/media/images/images/22570.png,,profile-photo,,Auto imported from Twitter,2191059654,2017-05-04,False,False,,,,,,,
22571,David Grant,,,,,local.falkirk.2017-05-04,party:52,Conservative and Unionist Party,UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
22572,Janine Danielle Rennie,,,,,local.falkirk.2017-05-04,ynmp-party:2,Independent,UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,,
20381,David George Robertson,,,Male,,local.falkirk.2017-05-04,party:130,Scottish Green Party,UTW:bonnybridge-and-larbert,Bonnybridge and Larbert,,,falkirk@scottishgreens.org.uk,,,,,http://falkirk.scottishgreens.org.uk,,,,,,,,,2017-05-04,False,False,,,,,,PP130,
22550,David Aitchison,,,,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:boaness-and-blackness,Boâness and Blackness,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
22551,Michael Burnett,,,,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:boaness-and-blackness,Boâness and Blackness,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
9227,Mari-Ellena Corvi,,,Female,,local.falkirk.2017-05-04,party:130,Scottish Green Party,UTW:boaness-and-blackness,Boâness and Blackness,,,falkirk@scottishgreens.org.uk,,https://www.facebook.com/MariEllenaSGP/,,,http://falkirk.scottishgreens.org.uk,,,,,,,,,2017-05-04,False,False,,20378,,,,PP130,
22552,Alan Gilbert,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:boaness-and-blackness,Boâness and Blackness,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
22553,Lynn Munro,,,,,local.falkirk.2017-05-04,party:52,Conservative and Unionist Party,UTW:boaness-and-blackness,Boâness and Blackness,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
22613,Ann Ritchie,,,female,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:boaness-and-blackness,Boâness and Blackness,,,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
22573,Safia Ali,,,,,local.falkirk.2017-05-04,ynmp-party:2,Independent,UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,,VoteforSafiaali,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/22573.png,,profile-photo,,Auto imported from Twitter,852443895396958209,2017-05-04,False,False,,,,,,,
22574,Gary Bouse,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,,GaryBouse,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/22574.png,,profile-photo,,Auto imported from Twitter,3131633104,2017-05-04,False,False,,,,,,PP102,
22575,Joan Coombes,,,female,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,joancoombes2017@gmail.com,joancoombes,https://www.facebook.com/joancoombeslabour/,http://vote.labour.org.uk/joan-coombes,,,,,https://candidates.democracyclub.org.uk/media/images/images/22575.png,,profile-photo,,Auto imported from Twitter,44955787,2017-05-04,False,False,,,,,,PP53,
22576,Jim Flynn,,,,,local.falkirk.2017-05-04,party:52,Conservative and Unionist Party,UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP52,
20377,Chris Marsh,,,Male,,local.falkirk.2017-05-04,party:130,Scottish Green Party,UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,,falkirk@scottishgreens.org.uk,FalkirkGreens,https://www.facebook.com/ChrisMarshSGP/,,,http://falkirk.scottishgreens.org.uk,,,,,,,,2787428464,2017-05-04,False,False,,,,,,PP130,
22577,Martin Murray,,,,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
22578,Laura Murtagh,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:carse-kinnaird-and-tryst,"Carse, Kinnaird and Tryst",,False,,CheetaraMummy,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/22578.png,,profile-photo,,Auto imported from Twitter,22071253,2017-05-04,False,False,,,,,,PP102,
22559,Jim Blackwood,,,,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:denny-and-banknock,Denny and Banknock,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
20380,Cheryl Brind,,,Female,,local.falkirk.2017-05-04,party:130,Scottish Green Party,UTW:denny-and-banknock,Denny and Banknock,,,falkirk@scottishgreens.org.uk,,,,,http://scottishgreens.org.uk,,,,,,,,,2017-05-04,False,False,,,,,,PP130,
22560,Fiona Elizabeth Collie,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:denny-and-banknock,Denny and Banknock,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
22561,Paul Garner,,,,,local.falkirk.2017-05-04,party:102,Scottish National Party (SNP),UTW:denny-and-banknock,Denny and Banknock,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP102,
22562,Khalid Hamid,,,,,local.falkirk.2017-05-04,party:53,Labour Party,UTW:denny-and-banknock,Denny and Banknock,,False,,,,,,,,,,,,,,,2017-05-04,False,False,,,,,,PP53,
