id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,old_person_ids,gss_code,parlparse_id,theyworkforyou_url,party_ec_id
20988,Malcolm John Bell,,,male,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002777,Lerwick North,,True,,malcolm_bell,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/20988.png,,profile-photo,,Auto imported from Twitter,319026346,2017-05-04,True,False,,,,,,
20989,John Finlay Sinclair Fraser,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002777,Lerwick North,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20990,Stephen Arthur Leask,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002777,Lerwick North,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20991,Thomas Williamson,,,,,local.shetland-islands.2017-05-04,party:52,Conservative and Unionist Party,UTW:S13002777,Lerwick North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,PP52
21008,Peter Campbell,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002778,Lerwick South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21009,Cecil Laing Smith,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002778,Lerwick South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21010,Frances Valente,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002778,Lerwick South,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21011,Amanda Westlake,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002778,Lerwick South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21012,Beatrice Wishart,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002778,Lerwick South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20811,Lynsay Anne Cunningham,,,female,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002772,North Isles,,False,,,https://www.facebook.com/northisles/,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21013,Cecil Hughson,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002772,North Isles,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21014,Alec George Priest,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002772,North Isles,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20812,Duncan Simpson,,,male,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002772,North Isles,,True,,,https://www.facebook.com/duncan4northisles/,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20813,Ryan James Andrew Thomson,,,male,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002772,North Isles,,True,hello@ryanthomson.co.uk,ryanthomson85,https://www.facebook.com/voteryanthomson/,,,http://ryanthomson.co.uk/,,,,,,,,740489399562076160,2017-05-04,True,False,,,,,,
21015,Julie Jemima Buchan,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002775,Shetland Central,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21016,Mark Robert Burgess,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002775,Shetland Central,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21017,Brian Nugent,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002775,Shetland Central,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21018,Davie Sandison,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002775,Shetland Central,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21019,Ian Scott,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002775,Shetland Central,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21020,Alastair Thomas James Cooper,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002773,Shetland North,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21021,Isobel Johnson,,,,,local.shetland-islands.2017-05-04,party:52,Conservative and Unionist Party,UTW:S13002773,Shetland North,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,PP52
20844,Emma Louise Macdonald,,,female,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002773,Shetland North,,True,emma.macdonald@gmx.com,EmmMac79,https://www.facebook.com/voteEmmaMacdonald/,,,,,,https://candidates.democracyclub.org.uk/media/images/images/20844.png,,profile-photo,,Auto imported from Twitter,817839856554569728,2017-05-04,True,False,,,,,,
21022,Andrea Isabel Manson,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002773,Shetland North,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20966,Allison George Leslie Duncan,,,male,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002776,Shetland South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
20967,Robbie McGregor,,,male,,local.shetland-islands.2017-05-04,party:102,Scottish National Party (SNP),UTW:S13002776,Shetland South,,True,,mcgregor_robbie,,,,,,,https://candidates.democracyclub.org.uk/media/images/images/20967.png,,profile-photo,,Auto imported from Twitter,553316054,2017-05-04,True,False,,,,,,PP102
20968,George Smith,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002776,Shetland South,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21028,Steven Coutts,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21029,Catherine Hughson,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21030,Debra Jane Nicolson,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21031,Gary Robinson,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21032,Theo Smith,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,True,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
21033,Ian Tinkler,,,,,local.shetland-islands.2017-05-04,ynmp-party:2,Independent,UTW:S13002774,Shetland West,,False,,,,,,,,,,,,,,,2017-05-04,True,False,,,,,,
